sample	CNI	CNI>Normal	CNI>Normal+std	CNI>Normal+2std
P10_FFPE	6985.47609573009	6880.55	6736.25	6628.68
P11_FFPE	4107.05051416195	3970.33	3783.08	3585.80
P12_FFPE	2676.27326111825	2427.74	2234.52	1986.07
P13_FFPE	7092.71134243324	7005.51	6877.23	6754.10
P14_FFPE	6019.46900968718	5916.73	5799.15	5675.89
P15_FFPE	4605.20383166548	4509.18	4372.05	4192.68
P16_FFPE	3651.36133268568	3431.36	3273.23	3038.80
P17_FFPE	1873.58154073751	1504.90	1284.03	1018.08
P18_FFPE	4382.22334052807	4201.22	4068.46	3833.15
P19_FFPE	3152.10430200271	2951.67	2716.43	2468.28
P1_FFPE	2859.08200683866	2646.16	2451.27	2184.08
P20_FFPE	4352.82990804105	4187.32	3999.32	3827.90
P21_FFPE	7037.53508076167	6869.66	6742.91	6588.67
P22_FFPE	6262.8949170138	6084.60	5941.85	5705.09
P23_FFPE	2849.501039983	2611.46	2378.56	2089.83
P24_FFPE	4659.13431894513	4528.72	4336.32	4147.39
P25_FFPE	4374.62270958903	4219.77	4047.86	3875.41
P26_FFPE	5169.40625518405	5029.72	4875.91	4718.56
P28_FFPE	3143.88277947549	2912.93	2740.46	2518.07
P29_FFPE	6453.55177674639	6333.85	6231.39	6092.23
P2_FFPE	4455.36983575127	4271.45	4105.26	3936.74
P30_FFPE	3024.08924783796	2858.67	2616.67	2324.12
P31_FFPE	1692.57913663869	1323.90	1043.28	806.82
P32_FFPE	3322.8559827064	3149.15	2991.07	2780.15
P33_FFPE	4262.69799149506	4067.30	3878.14	3630.45
P34_FFPE	6606.80995938877	6434.87	6280.54	6108.22
P35_FFPE	3731.84652358376	3491.62	3311.81	3185.73
P36_FFPE	3487.49285549805	3306.22	3141.90	2873.73
P37_FFPE	3572.78813006622	3384.76	3203.26	2977.46
P38_FFPE	3207.81695316754	2974.92	2757.83	2553.35
P39_FFPE	2497.37325632747	2274.76	2063.81	1766.90
P3_FFPE	3258.74884738072	3069.99	2906.85	2652.28
P40_FFPE	4139.19305004178	3906.35	3773.75	3586.48
P41_FFPE	6029.71146673649	5903.81	5808.76	5659.34
P42_FFPE	2718.03265553817	2488.70	2250.15	1978.04
P43_FFPE	3038.5456446983	2820.31	2618.60	2415.74
P4_FFPE	7443.63419911251	7379.11	7270.61	7143.63
P5_FFPE	8240.89637135039	8123.19	8022.31	7881.03
P6_FFPE	4196.45279537965	4002.88	3864.23	3709.72
P9_FFPE	5153.62777303641	4994.17	4891.99	4752.61
